tracking_timestamp_us,yaw_rads_cpf,pitch_rads_cpf,depth_m,yaw_low_rads_cpf,pitch_low_rads_cpf,yaw_high_rads_cpf,pitch_high_rads_cpf
181831334,0.3722877,-0.2470353,,0.3581046,-0.26219434,0.38817737,-0.22989726
181931334,0.37661886,-0.24700326,,0.36252382,-0.26149887,0.39176694,-0.2301486
182031334,0.39882177,-0.24890691,,0.3844884,-0.2630899,0.41380593,-0.23316464
182131334,0.3983906,-0.24819937,,0.3844758,-0.26307458,0.41387865,-0.2328836
182231334,0.40170902,-0.2501614,,0.38691902,-0.265082,0.41685173,-0.2333689
182331334,0.3465986,-0.25192985,,0.3327373,-0.26683956,0.36207518,-0.23448607
182431334,0.34554976,-0.25547674,,0.3308463,-0.27091396,0.36083534,-0.2380031
182531334,0.34978557,-0.25953177,,0.33548784,-0.27486616,0.36517915,-0.24167205
182631334,0.3083748,-0.265528,,0.29343262,-0.2820021,0.3232542,-0.24728273
182731334,0.30556738,-0.27574116,,0.28916258,-0.2918751,0.32128254,-0.25711334
182831334,0.3062098,-0.2734185,,0.29130128,-0.28879297,0.32147786,-0.25589347
182931334,0.29349688,-0.27585542,,0.277466,-0.29110354,0.30865157,-0.25770232
183031334,0.3053484,-0.26593426,,0.2906654,-0.28183812,0.31987834,-0.24995467
